,Unnamed: 0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Drivetrain,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Ground_Clearance,Power_Steering,Power_Windows,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Seating_Capacity,Type,Audiosystem,Boot_Space
0,0,Tata,Nano Genx,Xt,292667,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164 mm,1750,Hatchback,5,23,0,660,180,Electric Power,Only Front Windows,Remote,385500,514000,Digital,Analog,Not on offer,4,Manual,CD Player with USB & Aux-in,110
1,1,Tata,Nano Genx,Xe,236447,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164 mm,1750,Hatchback,5,23,0,725,180,0,0,0,385500,514000,Digital,Analog,Not on offer,4,Manual,Not on offer,110
2,2,Tata,Nano Genx,Emax Xm,296661,624,2,RWD (Rear Wheel Drive),15,CNG,1652,3164 mm,1750,Hatchback,4,0,36 km/kg,710,180,Electric Power,0,0,385500,514000,Digital,Analog,Not on offer,4,Manual,Not on offer,110
3,3,Tata,Nano Genx,Xta,334768,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164 mm,1750,Hatchback,5,21,0,725,180,Electric Power,Only Front Windows,Remote,385500,514000,Digital,Analog,Not on offer,4,Automatic,CD Player with USB & Aux-in,94
4,4,Tata,Nano Genx,Xm,272223,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164 mm,1750,Hatchback,5,23,0,725,180,Electric Power,0,0,385500,514000,Digital,Analog,Not on offer,4,Manual,Not on offer,110
5,5,Tata,Nano Genx,Xma,314815,624,2,RWD (Rear Wheel Drive),24,Petrol,1652,3164 mm,1750,Hatchback,5,21,0,710,180,Electric Power,0,0,385500,514000,Digital,Analog,Not on offer,4,Automatic,Not on offer,94
6,6,Datsun,Redi-Go,D,279650,799,3,FWD (Front Wheel Drive),28,Petrol,1541,3429 mm,1560,Hatchback,5,25,0,0,185,0,0,0,545678,724386,Digital,Analog,Digital,5,Manual,Not on offer,222
7,7,Datsun,Redi-Go,T,351832,799,3,FWD (Front Wheel Drive),28,Petrol,1541,3429 mm,1560,Hatchback,5,25,0,0,185,Electric Power,Only Front Windows,0,545678,724386,Digital,Analog,Digital,5,Manual,CD Player with USB & Aux-in,222
8,8,Datsun,Redi-Go,A,333419,799,3,FWD (Front Wheel Drive),28,Petrol,1541,3429 mm,1560,Hatchback,5,25,0,0,185,Electric Power,0,0,545678,724386,Digital,Analog,Digital,5,Manual,Not on offer,222
9,9,Datsun,Redi-Go,S,362000,799,3,FWD (Front Wheel Drive),28,Petrol,1541,3429 mm,1560,Hatchback,5,25,0,0,185,Electric Power,0,0,545678,724386,Digital,Analog,Digital,5,Manual,CD Player with USB & Aux-in,222
10,10,Datsun,Redi-Go,1.0 S,390000,999,3,FWD (Front Wheel Drive),28,Petrol,1541,3429 mm,1560,Hatchback,5,22,0,0,185,Electric Power,0,0,685500,914250,Digital,Analog,Digital,5,Manual,CD Player with USB & Aux-in,222
11,11,Datsun,Redi-Go,1.0 S Amt,437065,999,3,FWD (Front Wheel Drive),28,Petrol,1541,3429 mm,1560,Hatchback,5,23,0,0,185,Electric Power,Only Front Windows,Yes,685500,914250,Digital,Analog,Digital,5,Automatic,CD Player with USB & Aux-in,222
12,12,Renault,Kwid,Rxe 0.8,353290,799,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,25,0,669,184,0,0,0,545678,724386,Digital,Digital,Not on offer,5,Manual,Not on offer,300
13,13,Renault,Kwid,Std 0.8,283290,799,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,25,0,669,184,0,0,0,545678,724386,Digital,Digital,Not on offer,5,Manual,Not on offer,300
14,14,Renault,Kwid,Rxl 0.8,383290,799,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,25,0,669,184,Electric Power,Only Front Windows,0,545678,724386,Digital,Digital,Not on offer,5,Manual,CD Player with USB & Aux-in,300
15,15,Renault,Kwid,Rxt 0.8,413290,799,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1580,Hatchback,5,25,0,669,184,Electric Power,0,0,545678,724386,Digital,Digital,Not on offer,5,Manual,CD Player with USB & Aux-in,300
16,16,Renault,Kwid,Rxt 1.0,433290,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,23,0,669,184,Electric Power,Only Front Windows,Remote,685500,914250,Digital,Digital,Not on offer,5,Manual,CD Player with USB & Aux-in,300
17,17,Renault,Kwid,Climber 1.0 Mt,454490,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,23,0,669,184,Electric Power,Only Front Windows,Remote,685500,914250,Digital,Digital,Not on offer,5,Manual,CD Player with USB & Aux-in,300
18,18,Renault,Kwid,Rxt Amt 1.0,463290,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,24,0,669,184,Electric Power,Only Front Windows,Remote,685500,914250,Digital,Digital,Digital,5,Automatic,CD/MP3/DVD Player with USB & Aux-in,300
19,19,Renault,Kwid,Climber Amt 1.0,484490,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,24,0,669,184,Electric Power,Only Front Windows,Remote,685500,914250,Digital,Digital,Digital,5,Automatic,CD/MP3/DVD Player with USB & Aux-in,300
20,20,Renault,Kwid,Rxt (O) 1.0,440990,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,23,0,669,184,Electric Power,Only Front Windows,Remote,685500,914250,Digital,Digital,Not on offer,5,Manual,CD Player with USB & Aux-in,300
21,21,Renault,Kwid,Rxt (O) Amt 1.0,470990,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,23,0,669,184,Electric Power,Only Front Windows,Remote,685500,914250,Digital,Digital,Not on offer,5,Automatic,CD Player with USB & Aux-in,300
22,22,Renault,Kwid,Climber (O) Mt 1.0,462190,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,23,0,669,184,Electric Power,All Windows,Remote,685500,914250,Digital,Digital,Not on offer,5,Manual,CD Player with USB & Aux-in,300
23,23,Renault,Kwid,Climber (O) Amt 1.0,492190,999,3,FWD (Front Wheel Drive),28,Petrol,1490,3731 mm,1579,Hatchback,5,24,0,669,184,Electric Power,All Windows,Remote,685500,914250,Digital,Digital,Digital,5,Automatic,CD/MP3/DVD Player with USB & Aux-in,300
24,24,Maruti Suzuki,Eeco,5 Str,352136,1196,4,RWD (Rear Wheel Drive),40,Petrol,1800,3675 mm,1475,MPV,5,15,0,920,160,0,0,0,736000,1013000,Digital,Analog,Not on offer,5,Manual,Not on offer,400
25,25,Maruti Suzuki,Eeco,7 Str,380573,1196,4,FWD (Front Wheel Drive),40,Petrol,1800,3675 mm,1475,MPV,5,15,0,940,160,0,0,0,746000,1013000,Digital,Analog,Not on offer,7,Manual,Not on offer,250
26,26,Maruti Suzuki,Eeco,5 Str With Ac+Htr,392967,1196,4,RWD (Rear Wheel Drive),40,Petrol,1800,3675 mm,1475,MPV,5,15,0,928,160,0,0,0,736000,1013000,Digital,Analog,Not on offer,5,Manual,Not on offer,400
27,27,Maruti Suzuki,Eeco,5 Str With Ac+Htr Cng,466057,1196,4,RWD (Rear Wheel Drive),40,CNG,1800,3675 mm,1475,MPV,5,0,20 km/kg,1050,160,0,0,0,626000,853000,Digital,Analog,Not on offer,5,Manual,Not on offer,400
28,28,Maruti Suzuki,Eeco,5 Str With Htr Cng,425255,1196,4,RWD (Rear Wheel Drive),40,CNG,1800,3675 mm,1475,MPV,5,0,20 km/kg,1030,160,0,0,0,626000,853000,Digital,Analog,Not on offer,5,Manual,Not on offer,400
29,29,Maruti Suzuki,Alto K10,Lxi,377588,998,3,FWD (Front Wheel Drive),35,Petrol,1475,3545 mm,1490,Hatchback,5,24,0,745,160,Yes,0,0,686000,903500,Digital,Analog,Not on offer,5,Manual,Not on offer,177
30,30,Maruti Suzuki,Alto K10,Vxi,394036,998,3,FWD (Front Wheel Drive),35,Petrol,1475,3545 mm,1490,Hatchback,5,24,0,750,160,Yes,Only Front Windows,0,686200,903500,Digital,Analog,Analog,5,Manual,CD/MP3 Player,177
31,31,Maruti Suzuki,Alto K10,Lx,360843,998,3,FWD (Front Wheel Drive),35,Petrol,1475,3545 mm,1490,Hatchback,5,24,0,740,160,0,0,0,686000,903500,Digital,Analog,Not on offer,5,Manual,Not on offer,177
32,32,Maruti Suzuki,Alto K10,Vxi (O),407238,998,3,FWD (Front Wheel Drive),35,Petrol,1460,3620 mm,1475,Hatchback,5,24,0,755,160,Yes,Only Front Windows,Remote,686000,903500,Digital,Analog,Analog,5,Manual,Not on offer,177
33,33,Maruti Suzuki,Alto K10,Lxi Cng (O),439777,998,3,FWD (Front Wheel Drive),35,CNG,1475,3545 mm,1490,Hatchback,5,0,32.26 km/kg,740,160,Yes,0,0,596000,783500,Digital,Analog,Not on offer,5,Manual,Not on offer,177
34,34,Maruti Suzuki,Alto K10,Vxi Amt (O),438559,998,3,FWD (Front Wheel Drive),35,Petrol,1475,3545 mm,1490,Hatchback,5,24,0,755,160,Yes,Only Front Windows,0,686000,903500,Digital,Analog,Analog,5,Automatic,CD Player with USB & Aux-in,177
35,35,Datsun,Go,D,374990,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,0,Only Front Windows,0,685000,1044000,Digital,Analog,Digital,5,Manual,Not on offer,265
36,36,Datsun,Go,T,468229,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,Electric Power,All Windows,0,685000,1044000,Digital,Analog,"Analog, Digital",5,Manual,USB & Aux-in,265
37,37,Datsun,Go,T (O),502492,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,Electric Power,All Windows,0,685000,1044000,Digital,Analog,"Digital, Analog",5,Manual,USB & Aux-in,265
38,38,Datsun,Go,A (O),499990,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,Electric Power,All Windows,0,685000,1044000,Digital,Analog,Digital,5,Manual,Not on offer,265
39,39,Datsun,Go,A,469990,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,Electric Power,Only Front Windows,0,685000,1044000,Digital,Analog,Digital,5,Manual,Not on offer,265
40,40,Datsun,Go,T Vdc,528464,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,Electric Power,All Windows,0,685000,1044000,Digital,Analog,"Analog, Digital",5,Manual,USB & Aux-in,265
41,41,Datsun,Go,T (O) Vdc,553015,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,Electric Power,All Windows,0,685000,1044000,Digital,Analog,"Digital, Analog",5,Manual,USB & Aux-in,265
42,42,Datsun,Go,T Cvt,594464,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,Electric Power,All Windows,0,785000,1044000,Digital,Analog,"Analog, Digital",5,Manual,USB & Aux-in,265
43,43,Datsun,Go,T (O) Cvt,618015,1198,3,FWD (Front Wheel Drive),35,Petrol,1507,3788 mm,1636,Hatchback,5,20,0,864,180,Electric Power,All Windows,0,785000,1044000,Digital,Analog,"Analog, Digital",5,Manual,USB & Aux-in,265
44,44,Maruti Suzuki,Celerio Tour,H2,422444,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,830,165,Electric Power,0,0,686000,903500,Digital,Analog,Not on offer,5,Manual,Not on offer,235
45,45,Maruti Suzuki,Celerio Tour,H2 Cng,480670,998,3,FWD (Front Wheel Drive),60,CNG,1560,3695 mm,1600,Hatchback,5,0,31.76 km/kg,915,165,Electric Power,All Windows,0,596000,783500,Digital,Analog,Not on offer,5,Manual,Not on offer,235
46,46,Hyundai,Santro,Era Mt,429990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610 mm,1645,Hatchback,4,20,0,0,0,Electric Power,Only Front Windows,0,695500,99044500,Analog,Analog,Analog,5,Manual,Not on offer,0
47,47,Hyundai,Santro,Magna Mt,503990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610 mm,1645,Hatchback,4,20,0,0,0,Electric Power,All Windows,Remote,695500,99044500,Analog,Analog,Analog,5,Manual,Not on offer,0
48,48,Hyundai,Santro,Magna Mt Cng,547990,1086,4,FWD (Front Wheel Drive),35,CNG,1560,3610 mm,1645,Hatchback,4,0,30.48 km/kg,0,0,Electric Power,All Windows,0,595500,99044500,Digital,Digital,Analog,5,Manual,Not on offer,0
49,49,Hyundai,Santro,Magna Amt,530990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610 mm,1645,Hatchback,4,20,0,0,0,Electric Power,All Windows,0,695500,1014500,Analog,Analog,Analog,5,AMT,CD Player with USB & Aux-in,0
50,50,Hyundai,Santro,Sportz Mt,512990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610 mm,1645,Hatchback,4,20,0,0,0,Electric Power,All Windows,Remote,695500,1014500,Analog,Analog,Analog,5,Manual,CD/MP3/DVD Player with USB & Aux-in,0
51,51,Hyundai,Santro,Sportz Mt Cng,578990,1086,4,FWD (Front Wheel Drive),60,CNG,1560,3610 mm,1645,Hatchback,4,0,30.48 km/kg,0,0,Electric Power,All Windows,0,595500,834500,Analog,Analog,Analog,5,Manual,CD Player with USB & Aux-in,0
52,52,Hyundai,Santro,Sportz Amt,570990,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610 mm,1645,Hatchback,4,20,0,0,0,Electric Power,All Windows,Yes,695500,1014500,Analog,Analog,Analog,5,AMT,CD Player with USB & Aux-in,0
53,53,Hyundai,Santro,Asta Mt,556490,1086,4,FWD (Front Wheel Drive),35,Petrol,1560,3610 mm,1645,Hatchback,4,20,0,0,0,Electric Power,All Windows,Remote,695500,99044500,Analog,Analog,Analog,5,Manual,CD/MP3/DVD Player with USB & Aux-in,0
54,54,Tata,Tiago,Revotron Xe,460000,1199,3,FWD (Front Wheel Drive),35,Petrol,1535,3765 mm,1677,Hatchback,5,23,0,935,0,Electric Power,0,0,866000,1143300,Digital,Analog,Analog,5,Manual,Not on offer,0
55,55,Tata,Tiago,Revotron Xt,520000,1199,3,FWD (Front Wheel Drive),35,Petrol,1535,3746 mm,1647,Hatchback,5,23,0,930,170,Electric Power,All Windows,Remote,866000,1143300,Digital,Analog,Analog,5,Manual,CD Player with USB & Aux-in,242
56,56,Tata,Tiago,Revotron Xz,570000,1199,3,FWD (Front Wheel Drive),35,Petrol,1535,3746 mm,1647,Hatchback,5,23,0,930,170,Electric Power,All Windows,Remote,866000,1143300,Digital,Analog,Analog,5,Manual,CD Player with USB & Aux-in,242
57,57,Tata,Tiago,Revotron Xz Plus,599000,1199,3,FWD (Front Wheel Drive),35,Petrol,1535,3746 mm,1647,Hatchback,5,23,0,930,170,Electric Power,All Windows,Remote,866000,1143300,Digital,Analog,Analog,5,Manual,CD Player with USB & Aux-in,242
58,58,Tata,Tiago,Revotron Xz Plus Dual Tone,610000,1199,3,FWD (Front Wheel Drive),35,Petrol,1535,3746 mm,1647,Hatchback,5,23,0,930,170,Electric Power,All Windows,Remote,866000,1143300,Digital,Analog,Analog,5,Manual,CD Player with USB & Aux-in,242
59,59,Tata,Tiago,Revotron Xza,620000,1199,3,FWD (Front Wheel Drive),35,Petrol,1535,3746 mm,1647,Hatchback,5,24,0,930,170,Electric Power,All Windows,Remote,866000,1143300,Digital,Analog,Analog,5,AMT,CD Player with USB & Aux-in,240
60,60,Tata,Tiago,Revotron Xza Plus,649000,1199,3,FWD (Front Wheel Drive),35,Petrol,1535,3746 mm,1647,Hatchback,5,24,0,930,170,Electric Power,All Windows,Remote,866000,1143300,Digital,Analog,Analog,5,AMT,CD Player with USB & Aux-in,240
61,61,Tata,Tiago,Revotron Xza Plus Dual Tone,660000,1199,3,FWD (Front Wheel Drive),35,Petrol,1535,3746 mm,1647,Hatchback,5,24,0,930,170,Electric Power,All Windows,Remote,866000,1143300,Digital,Analog,Analog,5,AMT,CD Player with USB & Aux-in,240
62,62,Maruti Suzuki,Celerio X,Vxi (O),481074,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,810,165,Electric Power,All Windows,0,686000,903500,Digital,Analog,Analog,5,Manual,Not on offer,235
63,63,Maruti Suzuki,Celerio X,Vxi,475198,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,810,165,Electric Power,All Windows,0,686000,903500,Digital,Analog,Analog,5,Manual,Not on offer,235
64,64,Maruti Suzuki,Celerio X,Vxi Amt,518198,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,810,165,Electric Power,All Windows,0,686000,903500,Digital,Analog,Analog,5,Automatic,Not on offer,235
65,65,Maruti Suzuki,Celerio X,Vxi Amt (O),524074,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,810,165,Electric Power,All Windows,0,686000,903500,Digital,Analog,Analog,5,Automatic,Not on offer,235
66,66,Maruti Suzuki,Celerio X,Zxi,499734,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,810,165,Electric Power,All Windows,Remote,686000,903500,Digital,Analog,Analog,5,Manual,CD Player with USB & Aux-in,235
67,67,Maruti Suzuki,Celerio X,Zxi (O),540350,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,810,165,Electric Power,All Windows,Remote,686000,903500,Digital,Analog,Analog,5,Manual,CD Player with USB & Aux-in,235
68,68,Maruti Suzuki,Celerio X,Zxi Amt,542735,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,810,165,Electric Power,All Windows,Remote,686000,903500,Digital,Analog,Analog,5,Automatic,CD Player with USB & Aux-in,235
69,69,Maruti Suzuki,Celerio X,Zxi Amt (O),552350,998,3,FWD (Front Wheel Drive),35,Petrol,1560,3600 mm,1600,Hatchback,5,23,0,810,165,Electric Power,All Windows,Remote,686000,903500,Digital,Analog,Analog,5,Automatic,CD Player with USB & Aux-in,235
70,70,Maruti Suzuki,Ignis,Alpha 1.2 Amt,713898,1197,4,FWD (Front Wheel Drive),32,Petrol,1595,3700 mm,1690,Hatchback,5,20,0,860,180,Electric Power,All Windows,Remote,836000,1134200,Analog,Analog,Yes,5,AMT,CD/MP3/DVD Player with USB & Aux-in,260
71,71,Maruti Suzuki,Ignis,Alpha 1.2 Mt,666898,1197,4,FWD (Front Wheel Drive),32,Petrol,1595,3700 mm,1690,Hatchback,5,20,0,860,180,Electric Power,All Windows,Remote,836000,1134200,Analog,Analog,Yes,5,Manual,CD/MP3/DVD Player with USB & Aux-in,260
72,72,Maruti Suzuki,Ignis,Delta 1.2 Amt,607841,1197,4,FWD (Front Wheel Drive),32,Petrol,1595,3700 mm,1690,Hatchback,5,20,0,825,180,Electric Power,All Windows,Remote,836000,1134200,Digital,Analog,Analog,5,AMT,CD Player with USB & Aux-in,260
73,73,Maruti Suzuki,Ignis,Delta 1.2 Mt,560841,1197,4,FWD (Front Wheel Drive),32,Petrol,1595,3700 mm,1690,Hatchback,5,20,0,825,180,Electric Power,All Windows,Remote,836000,1134200,Digital,Analog,Analog,5,Manual,CD Player with USB & Aux-in,260
74,74,Maruti Suzuki,Ignis,Sigma 1.2 Mt,483320,1197,4,FWD (Front Wheel Drive),32,Petrol,1595,3700 mm,1690,Hatchback,5,20,0,825,180,Electric Power,Only Front Windows,0,836000,1134200,Analog,Analog,Not on offer,5,Manual,Not on offer,260
75,75,Maruti Suzuki,Ignis,Zeta 1.2 Amt,630320,1197,4,FWD (Front Wheel Drive),32,Petrol,1595,3700 mm,1690,Hatchback,5,20,0,0,180,Electric Power,All Windows,Remote,836000,1134200,Analog,Analog,Yes,5,AMT,CD/MP3/DVD Player with USB & Aux-in,260
76,76,Maruti Suzuki,Ignis,Zeta 1.2 Mt,583320,1197,4,FWD (Front Wheel Drive),32,Petrol,1595,3700 mm,1690,Hatchback,5,20,0,0,180,Electric Power,All Windows,Remote,836000,1134200,Analog,Analog,Yes,5,Manual,CD/MP3/DVD Player with USB & Aux-in,260
77,77,Renault,Triber,Rxe,495000,999,3,FWD (Front Wheel Drive),40,Petrol,1643,3990 mm,1739,MUV,5,20,0,947,182,Electric Power,Only Front Windows,0,7262050,963500,Digital,"Analog, Digital","Analog, Digital",7,Manual,Not on offer,625
78,78,Renault,Triber,Rxl,559000,999,3,FWD (Front Wheel Drive),40,Petrol,1643,3990 mm,1739,MUV,5,20,0,947,182,Electric Power,Only Front Windows,Remote,7262050,963500,Digital,"Analog, Digital","Analog, Digital",7,Manual,USB & Aux-in,625
79,79,Renault,Triber,Rxt,609000,999,3,FWD (Front Wheel Drive),40,Petrol,1643,3990 mm,1739,MUV,5,20,0,947,182,Electric Power,All Windows,Remote,7262050,963500,Digital,"Digital, Analog","Analog, Digital",7,Manual,USB & Aux-in,625
80,80,Renault,Triber,Rxz,663000,999,3,FWD (Front Wheel Drive),40,Petrol,1643,3990 mm,1739,MUV,5,20,0,947,182,Electric Power,All Windows,Smart Key,7262050,963500,Digital,"Analog, Digital","Analog, Digital",7,Manual,USB & Aux-in,625
81,81,Premier,Rio,Gx,506000,1173,4,FWD (Front Wheel Drive),46,Petrol,1730,3970 mm,1570,SUV,5,16,0,1080,200,Yes,Only Front Windows,Yes,7665800,1.03935E+11,Digital,Analog,Analog,5,Manual,Not on offer,454
82,82,Premier,Rio,Ex,568623,1489,4,FWD (Front Wheel Drive),46,Diesel,1730,3970 mm,1570,SUV,5,16,0,1145,200,Hydraulic Power,Only Front Windows,0,644000,1522500,0,0,Yes,5,Manual,Not on offer,454
83,83,Premier,Rio,Glx,670000,1173,4,FWD (Front Wheel Drive),46,Petrol,1730,3970 mm,1570,SUV,5,16,0,1080,200,Yes,Only Front Windows,Yes,7665800,1.03935E+11,Digital,Analog,Analog,5,Manual,CD/MP3 Player,454
84,84,Premier,Rio,Dx,603000,1489,4,FWD (Front Wheel Drive),46,Diesel,1730,3970 mm,1570,SUV,5,16,0,1145,200,Yes,Only Front Windows,Yes,644000,1522250,Digital,Analog,Analog,5,Manual,Not on offer,454
85,85,Premier,Rio,Lx,739000,1489,4,FWD (Front Wheel Drive),46,Diesel,1730,3970 mm,1570,SUV,5,16,0,1145,200,Yes,Only Front Windows,Yes,644000,1522250,Digital,Analog,Analog,5,Manual,CD/MP3 Player,454
86,86,Premier,Rio,Crdi4,739000,1248,4,FWD (Front Wheel Drive),46,Diesel,1730,3970 mm,1570,SUV,5,23,0,1145,200,Yes,Only Front Windows,Remote,724000,18318002400,Digital,Analog,Analog,5,Manual,CD/MP3 Player,454
87,87,Toyota,Etios Liva,G,520300,1197,4,FWD (Front Wheel Drive),45,Petrol,1510,3884 mm,1695,Hatchback,5,18,0,895,170,Electric Power,All Windows,Remote,805600,1043100,Digital,Analog,Yes,5,Manual,Not on offer,251
88,88,Toyota,Etios Liva,V,581000,1197,4,FWD (Front Wheel Drive),45,Petrol,1510,3884 mm,1695,Hatchback,5,18,0,895,170,Electric Power,All Windows,Remote,805600,1043100,Digital,Analog,Digital,5,Manual,Not on offer,251
89,89,Toyota,Etios Liva,Gd,647800,1364,4,FWD (Front Wheel Drive),45,Diesel,1510,3884 mm,1695,Hatchback,5,23,0,895,170,Electric Power,All Windows,Remote,683800,17018002400,Digital,Analog,Yes,5,Manual,Not on offer,251
90,90,Toyota,Etios Liva,Vx,630000,1197,4,FWD (Front Wheel Drive),45,Petrol,1510,3884 mm,1695,Hatchback,5,18,0,895,170,Electric Power,All Windows,Remote,805600,1043100,Digital,Analog,Digital,5,Manual,USB & Aux-in,251
91,91,Toyota,Etios Liva,Vxd,745000,1364,4,FWD (Front Wheel Drive),45,Diesel,1510,3884 mm,1695,Hatchback,5,23,0,895,170,Electric Power,All Windows,Remote,683800,17018002400,Digital,Analog,Digital,5,Manual,DVD Player with USB & Aux-in,251
92,92,Toyota,Etios Liva,Vd,704000,1364,4,FWD (Front Wheel Drive),45,Diesel,1510,3884 mm,1695,Hatchback,5,23,0,895,170,Electric Power,All Windows,Remote,683800,17018002400,Digital,Analog,Digital,5,Manual,CD Player with USB & Aux-in,251
93,93,Toyota,Etios Liva,Dual Tone V,597700,1197,4,FWD (Front Wheel Drive),45,Petrol,1510,3884 mm,1695,Hatchback,5,18,0,895,170,Electric Power,All Windows,Remote,805600,1043100,Digital,Analog,Digital,5,Manual,Not on offer,251
94,94,Toyota,Etios Liva,Dual Tone Vd,720700,1364,4,FWD (Front Wheel Drive),45,Diesel,1510,3884 mm,1695,Hatchback,5,23,0,895,170,Electric Power,All Windows,Remote,683800,17018002400,Digital,Analog,Digital,5,Manual,CD Player with USB & Aux-in,251
95,95,Toyota,Etios Liva,Dual Tone Vx,641700,1197,4,FWD (Front Wheel Drive),45,Petrol,1510,3884 mm,1695,Hatchback,5,18,0,895,170,Electric Power,All Windows,Remote,805600,1043100,Digital,Analog,Digital,5,Manual,USB & Aux-in,251
96,96,Toyota,Etios Liva,Dual Tone Vxd,756700,1364,4,FWD (Front Wheel Drive),45,Diesel,1510,3884 mm,1695,Hatchback,5,23,0,895,170,Electric Power,All Windows,Remote,683800,17018002400,Digital,Analog,Digital,5,Manual,DVD Player with USB & Aux-in,251
97,97,Toyota,Etios Liva,Gx,558400,1197,4,FWD (Front Wheel Drive),45,Petrol,1510,3884 mm,1695,Hatchback,5,18,0,895,170,Electric Power,All Windows,0,805600,1043100,Digital,Analog,Digital,5,Manual,Not on offer,251
98,98,Toyota,Etios Liva,Gxd,686000,1364,4,FWD (Front Wheel Drive),45,Diesel,1510,3884 mm,1695,Hatchback,5,23,0,895,170,Electric Power,All Windows,Remote,683800,17018002400,Digital,Analog,Digital,5,Manual,Not on offer,251
99,99,Toyota,Etios Liva,Vx Dual Tone Limited Edition,662700,1197,4,FWD (Front Wheel Drive),45,Petrol,1510,3884 mm,1695,Hatchback,5,18,0,895,170,Electric Power,All Windows,Remote,805600,1043100,Digital,Analog,Digital,5,Manual,USB & Aux-in,251
100,100,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,777700,1364,4,FWD (Front Wheel Drive),45,Diesel,1510,3884 mm,1695,Hatchback,5,23,0,895,170,Electric Power,All Windows,Remote,683800,17018002400,Digital,Analog,Digital,5,Manual,DVD Player with USB & Aux-in,251
101,101,Nissan,Micra Active,Xl,525021,1198,3,FWD (Front Wheel Drive),41,Petrol,1530,3801 mm,1665,Hatchback,5,18,0,0,154,Electric Power,Only Front Windows,0,685000,1044000,Digital,Analog,Not on offer,5,Manual,Not on offer,251
102,102,Nissan,Micra Active,Xv,599950,1198,3,FWD (Front Wheel Drive),41,Petrol,1530,3801 mm,1665,Hatchback,5,19,0,0,154,Electric Power,All Windows,Remote,685000,1044000,Digital,Analog,Analog,5,Manual,CD Player with USB & Aux-in,251
103,103,Nissan,Micra Active,Xl (O),563133,1198,3,FWD (Front Wheel Drive),41,Petrol,1530,3801 mm,1665,Hatchback,5,18,0,0,154,Electric Power,All Windows,Remote,685000,1044000,Digital,Analog,Not on offer,5,Manual,CD Player with USB & Aux-in,251
